label,dose1,dose2,total
16/01/2021,336,0,336
17/01/2021,338,0,338
18/01/2021,678,0,678
19/01/2021,1529,0,1529
20/01/2021,2432,0,2432
21/01/2021,4780,0,4780
22/01/2021,9676,0,9676
23/01/2021,16519,0,16519
24/01/2021,17712,0,17712
25/01/2021,26017,0,26017
26/01/2021,26213,0,26213
27/01/2021,33121,0,33121
28/01/2021,39511,0,39511
29/01/2021,42210,0,42210
30/01/2021,45648,0,45648
31/01/2021,45738,0,45738
01/02/2021,47903,0,47903
02/02/2021,49663,0,49663
03/02/2021,52241,0,52241
04/02/2021,56208,0,56208
05/02/2021,60878,0,60878
06/02/2021,64399,0,64399
07/02/2021,64401,0,64401
08/02/2021,70250,0,70250
09/02/2021,75851,0,75851
10/02/2021,80350,0,80350
11/02/2021,85911,0,85911
12/02/2021,90012,0,90012
13/02/2021,91988,62,92050
14/02/2021,91988,62,92050
15/02/2021,96153,1028,97181
16/02/2021,100270,1988,102258
17/02/2021,103601,2678,106279
18/02/2021,102775,4974,107749
19/02/2021,113959,8567,122526
20/02/2021,116708,12291,128999
21/02/2021,116815,12695,129510
22/02/2021,121967,18347,140314
23/02/2021,128224,21320,149544
24/02/2021,134183,24449,158632
25/02/2021,143306,29291,172597
26/02/2021,149199,32494,181693
27/02/2021,149199,32494,181693
28/02/2021,149199,32494,181693
01/03/2021,149199,32494,181693
02/03/2021,163048,35973,199021
03/03/2021,173112,38350,211462
04/03/2021,183847,40539,224386
05/03/2021,197223,43277,240500
06/03/2021,208515,45832,254347
07/03/2021,209935,45923,255858
08/03/2021,226539,49220,275759
09/03/2021,193804,53035,246839
10/03/2021,207008,56324,263332
11/03/2021,212869,56860,269729
12/03/2021,228580,61403,289983
13/03/2021,243904,64663,308567
14/03/2021,246290,64758,311048
15/03/2021,266837,68807,335644
16/03/2021,338578,72502,411080
17/03/2021,390818,75285,466103
18/03/2021,417939,78402,496341
19/03/2021,448570,81687,530257
20/03/2021,483574,84238,567812
21/03/2021,494076,84699,578775
22/03/2021,525293,87971,613264
23/03/2021,558275,91070,649345
24/03/2021,588402,93271,681673
25/03/2021,623062,95978,719040
26/03/2021,657164,97838,755002
27/03/2021,702391,99809,802200
28/03/2021,721557,100355,821912
29/03/2021,741177,101199,842376
30/03/2021,788634,104335,892969
31/03/2021,836310,108224,944534
01/04/2021,892880,111541,1004421
02/04/2021,961706,115125,1076831
03/04/2021,1033601,118913,1152514
04/04/2021,1116418,121556,1237974
05/04/2021,1184561,125691,1310252
06/04/2021,1226129,128042,1354171
07/04/2021,1334736,134551,1469287
08/04/2021,1430914,139949,1570863
09/04/2021,1526823,145702,1672525
10/04/2021,1618233,151307,1769540
11/04/2021,1690799,154115,1844914
12/04/2021,1776693,161989,1938682
13/04/2021,1835859,166491,2002350
14/04/2021,1907408,172918,2080326
15/04/2021,1981682,183327,2165009
16/04/2021,2066797,194556,2261353
17/04/2021,2145690,206557,2352247
18/04/2021,2205031,213040,2418071
19/04/2021,2279891,227629,2507520
20/04/2021,2352465,242272,2594737
21/04/2021,2403286,254368,2657654
22/04/2021,2448621,266324,2714945
23/04/2021,2526188,285698,2811886
24/04/2021,2616660,307607,2924267
25/04/2021,2676116,318920,2995036
26/04/2021,2746637,339004,3085641
27/04/2021,2779190,352240,3131430
28/04/2021,2837315,374088,3211403
29/04/2021,2896032,396831,3292863
30/04/2021,2968888,425192,3394080
01/05/2021,3022501,443115,3465616
02/05/2021,3047712,450812,3498524
03/05/2021,3073058,462020,3535078
04/05/2021,3087605,468395,3556000
05/05/2021,3137052,498985,3636037
06/05/2021,3189159,528866,3718025
07/05/2021,3234007,556961,3790968
08/05/2021,3273867,585874,3859741
09/05/2021,3298768,602029,3900797
10/05/2021,3343731,638130,3981861
11/05/2021,3392970,672384,4065354
12/05/2021,3430867,686851,4117718
13/05/2021,3460222,697346,4157568
14/05/2021,3474171,702112,4176283
15/05/2021,3488899,706267,4195166
16/05/2021,3493453,707219,4200672
17/05/2021,3500885,708884,4209769
18/05/2021,3506609,711403,4218012
19/05/2021,3526147,713207,4239354
20/05/2021,3561644,716163,4277807
21/05/2021,3594976,720510,4315486
22/05/2021,3643648,726415,4370063
23/05/2021,3664812,730626,4395438
24/05/2021,3686593,736116,4422709
25/05/2021,3704760,744412,4449172
26/05/2021,3732629,748659,4481288
27/05/2021,3752636,752662,4505298
28/05/2021,3768211,756543,4524754
29/05/2021,3807020,761725,4568745
30/05/2021,3837481,765110,4602591
31/05/2021,3868801,770461,4639262
01/06/2021,3899387,775823,4675210
02/06/2021,3932229,779932,4712161
03/06/2021,3965188,784051,4749239
04/06/2021,4020410,788835,4809245
05/06/2021,4079301,792988,4872289
06/06/2021,4117141,794847,4911988
07/06/2021,4163128,799072,4962200
08/06/2021,4207220,803148,5010368
09/06/2021,4236020,805964,5041984
10/06/2021,4261364,809185,5070549
11/06/2021,4309836,813372,5123208
12/06/2021,4370081,817027,5187108
13/06/2021,4400382,819229,5219611
14/06/2021,4424663,822119,5246782
15/06/2021,4450734,826966,5277700
16/06/2021,4468606,831195,5299801
17/06/2021,4490513,837265,5327778
18/06/2021,4513149,843419,5356568
19/06/2021,4535431,850093,5385524
20/06/2021,4565935,856952,5422887
21/06/2021,4654728,867266,5521994
22/06/2021,4764482,882549,5647031
23/06/2021,4839891,896359,5736250
24/06/2021,4929959,914312,5844271
25/06/2021,5036271,935845,5972116
26/06/2021,5146916,967162,6114078
27/06/2021,5204384,978190,6182574
28/06/2021,5242562,988035,6230597
29/06/2021,5269832,996043,6265875
30/06/2021,5289807,1002671,6292478
01/07/2021,5307013,1007215,6314228
02/07/2021,5327984,1018371,6346355
03/07/2021,5710932,1183332,6894264
04/07/2021,5800293,1217428,7017721
05/07/2021,5835504,1234938,7070442
06/07/2021,5853013,1242631,7095644
07/07/2021,5977846,1312790,7290636
08/07/2021,5994518,1323347,7317865
09/07/2021,6002896,1329095,7331991
10/07/2021,6045372,1341758,7387130
11/07/2021,6070212,1345591,7415803
12/07/2021,6190246,1428679,7618925
13/07/2021,6217365,1446947,7664312
14/07/2021,6339924,1457342,7797266
15/07/2021,6358671,1463820,7822491
16/07/2021,6465498,1537367,8002865
17/07/2021,6485454,1550440,8035894
18/07/2021,6488932,1552932,8041864
19/07/2021,6497157,1558644,8055801
20/07/2021,6503408,1562951,8066359
21/07/2021,6615594,1645696,8261290
22/07/2021,6647300,1674819,8322119
23/07/2021,6659008,1686874,8345882
24/07/2021,6719588,1750361,8469949
25/07/2021,6731924,1762896,8494820
26/07/2021,6747639,1775916,8523555
27/07/2021,6757301,1785124,8542425
28/07/2021,6806417,1831209,8637626
29/07/2021,6868957,1883011,8751968
30/07/2021,6948236,1944825,8893061
31/07/2021,7192206,1963275,9155481
01/08/2021,7596875,2017835,9614710
02/08/2021,7641792,2050177,9691969
03/08/2021,7683148,2075319,9758467
04/08/2021,7705110,2089866,9794976
05/08/2021,7726279,2101081,9827360
06/08/2021,7743609,2110645,9854254
07/08/2021,7861095,2202922,10064017
08/08/2021,7908348,2232623,10140971
09/08/2021,8005636,2285629,10291265
10/08/2021,8032828,2303270,10336098
11/08/2021,8130159,2359153,10489312
12/08/2021,8187140,2394872,10582012
13/08/2021,8296569,2455768,10752337
14/08/2021,8406019,2518633,10924652
15/08/2021,8525700,2565899,11091599
16/08/2021,8660796,2628599,11289395
17/08/2021,8714872,2655477,11370349
18/08/2021,8891483,2722556,11614039
19/08/2021,9055902,2790286,11846188
20/08/2021,9094455,2807178,11901633
21/08/2021,9276644,2878648,12155292
22/08/2021,9291146,2882507,12173653
23/08/2021,9350489,2907996,12258485
24/08/2021,9603714,2994252,12597966
25/08/2021,9685900,3027378,12713278
26/08/2021,9905388,3098342,13003730
27/08/2021,9987718,3130999,13118717
28/08/2021,10028631,3155744,13184375
29/08/2021,10057353,3170314,13227667
30/08/2021,10099458,3184815,13284273
31/08/2021,10296493,3255471,13551964
01/09/2021,10455875,3307963,13763838
02/09/2021,10707157,3386583,14093740
03/09/2021,10813793,3425510,14239303
04/09/2021,11076839,3505695,14582534
05/09/2021,11232618,3591851,14824469
06/09/2021,11348037,3628920,14976957
07/09/2021,11428003,3659533,15087536
08/09/2021,11634174,3711137,15345311
09/09/2021,11902511,3788147,15690658
10/09/2021,12048496,3827892,15876388
11/09/2021,12194976,3881751,16076727
12/09/2021,12257228,3912752,16169980
13/09/2021,12427985,3974900,16402885
14/09/2021,12530142,4020091,16550233
15/09/2021,12569781,4039955,16609736
16/09/2021,12978388,4194091,17172479
17/09/2021,13277012,4320260,17597272
18/09/2021,13360461,4347523,17707984
19/09/2021,13418166,4387814,17805980
20/09/2021,13492124,4443392,17935516
21/09/2021,13538642,4475163,18013805
22/09/2021,13570571,4496903,18067474
23/09/2021,13872774,4631620,18504394
24/09/2021,14005256,4695088,18700344
25/09/2021,14278434,4857445,19135879
26/09/2021,14352315,4909045,19261360
27/09/2021,14396017,4932392,19328409
28/09/2021,14446446,4966715,19413161
29/09/2021,14479233,4993929,19473162
30/09/2021,14513084,5024998,19538082
01/10/2021,14543687,5051402,19595089
02/10/2021,14555131,5059907,19615038
03/10/2021,14560256,5065766,19626022
04/10/2021,14694332,5168892,19863224
05/10/2021,14823124,5263685,20086809
06/10/2021,14879112,5305822,20184934
07/10/2021,14941604,5345577,20287181
08/10/2021,15020996,5410205,20431201
09/10/2021,15115696,5478531,20594227
10/10/2021,15140480,5500872,20641352
11/10/2021,15205422,5550158,20755580
12/10/2021,15265783,5593314,20859097
13/10/2021,15310693,5628158,20938851
14/10/2021,15383157,5686082,21069239
15/10/2021,15390356,5690706,21081062
16/10/2021,15446692,5742306,21188998
17/10/2021,15459433,5753784,21213217
18/10/2021,15512316,5800473,21312789
19/10/2021,15580075,5855052,21435127
20/10/2021,15593196,5865281,21458477
21/10/2021,15651589,5924202,21575791
22/10/2021,15688010,5961743,21649753
23/10/2021,15736888,6010974,21747862
24/10/2021,15742469,6015684,21758153
25/10/2021,15776937,6052854,21829791
26/10/2021,15826694,6106073,21932767
27/10/2021,15848678,6130454,21979132
28/10/2021,15885123,6168914,22054037
29/10/2021,15906819,6194239,22101058
30/10/2021,15938651,6233923,22172574
31/10/2021,15942523,6238789,22181312
